Loading model: tiny_vit_5m_224
Total model parameters: 5,392,764


── Detailed Layer Profiling ──

| Layer Name                              | Type                      | Weight Shape   | M×N      |   Params | Tag     | Arrays(diff)   |
| stages.2.blocks.3.local_conv.bn.bias    | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.4.attn.attention_biases | Parameter                 | 5×196          | —        |      980 | digital | —              |
| stages.2.blocks.4.attn.norm.weight      | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.4.attn.norm.bias        | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.4.mlp.norm.weight       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.4.mlp.norm.bias         | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.4.local_conv.bn.weight  | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.4.local_conv.bn.bias    | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.5.attn.attention_biases | Parameter                 | 5×196          | —        |      980 | digital | —              |
| stages.2.blocks.5.attn.norm.weight      | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.5.attn.norm.bias        | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.5.mlp.norm.weight       | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.5.mlp.norm.bias         | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.5.local_conv.bn.weight  | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.2.blocks.5.local_conv.bn.bias    | Parameter                 | 160            | —        |      160 | digital | —              |
| stages.3.downsample.conv1.bn.weight     | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.downsample.conv1.bn.bias       | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.downsample.conv2.bn.weight     | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.downsample.conv2.bn.bias       | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.downsample.conv3.bn.weight     | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.downsample.conv3.bn.bias       | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.0.attn.attention_biases | Parameter                 | 10×49          | —        |      490 | digital | —              |
| stages.3.blocks.0.attn.norm.weight      | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.0.attn.norm.bias        | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.0.mlp.norm.weight       | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.0.mlp.norm.bias         | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.0.local_conv.bn.weight  | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.0.local_conv.bn.bias    | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.1.attn.attention_biases | Parameter                 | 10×49          | —        |      490 | digital | —              |
| stages.3.blocks.1.attn.norm.weight      | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.1.attn.norm.bias        | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.1.mlp.norm.weight       | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.1.mlp.norm.bias         | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.1.local_conv.bn.weight  | Parameter                 | 320            | —        |      320 | digital | —              |
| stages.3.blocks.1.local_conv.bn.bias    | Parameter                 | 320            | —        |      320 | digital | —              |
| head.norm.weight                        | Parameter                 | 320            | —        |      320 | digital | —              |
| head.norm.bias                          | Parameter                 | 320            | —        |      320 | digital | —              |

======================================================================
SUMMARY: Tiny-ViT-5M Crossbar Array Mapping
======================================================================
  Model total params (from model):      5,392,764
  Categorized params (from scan):       5,392,764
  ───────────────────────────────────────────
  Analog-mapped params:                 4,730,016  (87.7%)
  Digital params:                         662,748  (12.3%)
  ───────────────────────────────────────────
  Crossbar array size:               128×128
  Weight scheme:                     Differential pair (2× arrays)
  Total crossbar arrays (diff pair):          812
  Total crossbar devices:              13,303,808


Markdown table exported to: report_md/array_mapping_report.md
JSON data exported to: report_md/array_mapping_data.json
