file,device,measurement,type,C1_n,C1_peak_nA,C1_mean_nA,C1_baseline_nA,C1_amp_nA,C1_t_peak_s,C1_half_width_s,C2_n,C2_mean_nA,C2_std_nA,C3_n,C3_valid,C3_mean_nA,C3_std_nA,C1_baseline_nA_codex,C1_peak_nA_codex,C1_amp_nA_codex,C1_t_peak_s_codex,C1_rise_10_90_s,C1_tau_1e_decay_s,C1_decay_1e_resolved,C1_half_width_s_codex,C1_charge_nC
3-3-EPSC-365 nm-200 300 ms-64ci-4.csv,3,4,wafer,2000,-26.765,-18.3684171,-0.205398,-26.559602,35.515401,37.91253,2000,-20.6568617,1.38609987901681,503,True,-18.068573757455272,0.2367206677269234,-0.205398,-26.765,26.559602,35.515401,22.261187640426066,,False,,907.922282361332
3-3-EPSC-365 nm-200 300 ms-64ci-5.csv,3,5,wafer,2000,-26.3671,-17.71934575,-0.055132,-26.311968,35.054684,37.422163,2000,-20.29705655,1.303057152272356,482,False,-17.873322199170126,0.2140315075435132,-0.055132,-26.3671,26.311968,35.054684,24.533320026194417,,False,,877.579195412798
3-5-EPSC-365 nm-200 300 ms-64ci-1.csv,5,1,wafer,2000,-25.7511,-16.590172900000002,-0.083942,-25.667158,35.438452,36.625975,2000,-17.880135300000003,1.3187030162877815,443,False,-15.600925282167042,0.1742384193574435,-0.08394200000000003,-25.751099999999997,25.667157999999997,35.438452,23.522661766650963,,False,,818.2328918373721
3-5-EPSC-365 nm-200 300 ms-64ci-2.csv,5,2,wafer,2000,-29.5061,-19.73054015,-0.1067849999999999,-29.399315,35.721238,37.715144,2000,-20.9989468,1.4345959658532368,624,True,-18.332408012820515,0.2690819778775915,-0.10678499999999999,-29.5061,29.399315,35.721238,24.0242754203984,,False,,981.2508023280924
3-5-EPSC-365 nm-200 300 ms-64ci-3.csv,5,3,wafer,2000,-31.624,-21.5821959,-0.045747,-31.578253,35.015575,38.34792,2000,-22.84370895,1.5607748054000243,929,True,-19.729694402583423,0.4238224862360712,-0.045747,-31.624,31.578253,35.015575,25.047241335860228,,False,,1065.7095653116426
3-5-EPSC-365 nm-200 300 ms-64ci-4.csv,5,4,wafer,2000,-32.0653,-21.3098999,-0.032886,-32.032414,34.832312,37.024406,2000,-23.3758814,1.5472191526371382,483,False,-20.63334285714286,0.2284889766576507,-0.03288600000000001,-32.0653,32.032414,34.832312,24.532693984190892,,False,,1060.9541604937372
3-5-EPSC-365 nm-200 300 ms-64ci-5.csv,5,5,wafer,2000,-34.0135,-20.60467425,-0.1545619999999999,-33.858938,38.79996,33.950108,2000,-25.56536575,1.800607227094535,507,True,-22.377835108481264,0.27646747071183,-0.15456199999999998,-34.0135,33.858938,38.79996,25.05443192098947,,False,,1022.0086227643769
3-6-EPSC-365 nm-200 300 ms-64ci-1.csv,6,1,wafer,2000,-30.5875,-19.24378525,-0.063476,-30.524024,36.250741,35.810133,2000,-20.8911227,1.7192103820718456,480,False,-17.884583958333337,0.2423609017438888,-0.063476,-30.587500000000002,30.524024,36.250741,24.533608396078783,,False,,956.882376979378
3-6-EPSC-365 nm-200 300 ms-64ci-2.csv,6,2,wafer,2000,-32.838800000000006,-21.17945425,-0.088373,-32.75042700000001,35.534424,35.934383,2000,-23.06514955,1.7679687390394965,659,True,-19.831393626707133,0.3368751779541339,-0.088373,-32.838800000000006,32.75042700000001,35.534424,26.05827444652309,,False,,1046.879422083252
3-6-EPSC-365 nm-200 300 ms-64ci-3.csv,6,3,wafer,2000,-35.6261,-24.224672,-0.063448,-35.562652,35.879132,37.694254,2000,-25.6454485,1.9176357858131627,854,True,-21.88423911007025,0.4826517911791049,-0.063448,-35.6261,35.562652,35.879132,23.497060594848943,,False,,1193.5546186345318
3-6-EPSC-365 nm-200 300 ms-64ci-4.csv,6,4,wafer,2000,-37.4307,-25.39567505,-0.070772,-37.359928,35.594548,37.696084,2000,-27.3643472,1.9295107605426007,677,True,-23.70528995568685,0.4023523071520283,-0.07077200000000002,-37.4307,37.359928000000004,35.594548,23.509200228162747,,False,,1248.14408819654
3-6-EPSC-365 nm-200 300 ms-64ci-5.csv,6,5,wafer,2000,-37.9521,-25.639535150000004,-0.070871,-37.881229000000005,35.869351,37.217582,2000,-28.10194755,1.911529034725682,535,True,-24.601615887850468,0.3332427018594842,-0.070871,-37.9521,37.881229000000005,35.869351,23.502007673644314,,False,,1265.0906056726762
3-7-EPSC-365 nm-200 300 ms-64ci-1.csv,7,1,wafer,2000,-24.877,-16.05427355,-0.078501,-24.798499000000003,36.568956,36.879476,2000,-15.616821650000002,1.7668970270274205,600,True,-12.480407166666668,0.2967334634187608,-0.078501,-24.877000000000002,24.798499000000003,36.568956,22.9942893969478,,False,,791.628592857587
3-7-EPSC-365 nm-200 300 ms-64ci-2.csv,7,2,wafer,2000,-25.7185,-16.342870899999998,-0.0466,-25.6719,35.916004,35.726881,2000,-16.8103403,1.6816992680708476,502,True,-13.840241434262948,0.250500509830786,-0.0466,-25.7185,25.671899999999997,35.916004,23.497301555671967,,False,,808.4835866495999
3-7-EPSC-365 nm-200 300 ms-64ci-3.csv,7,3,wafer,2000,-27.602,-18.84744405,-0.125149,-27.476851,35.891756,38.712198,2000,-18.4979753,1.6922042904360557,505,True,-15.487066930693068,0.2585159667697259,-0.125149,-27.602,27.476851,35.891756,23.000947143662728,,False,,937.4610436996486
