layer_id	module_path	role	stage	layer_type	diff_pair_arrays_128	parameter_count	perturbation_type	sigma_d2d	sigma_c2c	seed	metric_baseline	metric_perturbed	delta	baseline_loss	perturbed_loss	loss_delta	rank	subset_size	dataset	checkpoint_path	evidence_grade
12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.234375	0.9765625	0.47226928174495697	0.5082873851060867	0.03601810336112976	12	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.3828125	1.3671875	0.33898304402828217	0.43077898025512695	0.09179593622684479	10	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.6015625	1.171875	0.36475880444049835	0.44284236431121826	0.07808355987071991	10	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.625	0.5859375	0.47226928174495697	0.5099998414516449	0.03773055970668793	10	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.7734375	0.9765625	0.33898304402828217	0.3805652856826782	0.04158224165439606	16	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.1875	0.5859375	0.36475880444049835	0.4091257154941559	0.04436691105365753	16	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.8203125	0.390625	0.47226928174495697	0.5110917240381241	0.038822442293167114	16	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.5546875	0.1953125	0.33898304402828217	0.3348822593688965	-0.004100784659385681	41	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	93.5546875	-0.78125	0.36475880444049835	0.35034358501434326	-0.01441521942615509	41	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.2109375	0.0	0.47226928174495697	0.49718667566776276	0.024917393922805786	41	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.9453125	-0.1953125	0.33898304402828217	0.34982046484947205	0.01083742082118988	28	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.1875	0.5859375	0.36475880444049835	0.4266326576471329	0.06187385320663452	28	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
