rank	layer_id	module_path	role	stage	layer_type	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	retention_time_s	reference_mean_acc_drop	reference_std_acc_drop	source	evidence_grade
21	24	stages.2.blocks.3.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	215.368683	3.600000	0.985642	1000.0	0.8463541666666666	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
22	8	stages.1.blocks.1.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	208.135086	3.600000	0.990259	1000.0	1.6276041666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
23	4	stages.1.blocks.0.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	199.261871	3.600000	0.989435	1000.0	1.4973958333333333	0.22552744890219756	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
24	5	stages.1.blocks.0.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	198.843887	3.600000	0.989372	1000.0	0.06510416666666667	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
25	10	stages.2.blocks.0.attn.qkv	attention_qkv	stage_2	AnalogLinear	190.682373	3.600000	0.987294	1000.0	0.6510416666666666	0.9021097956087902	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
26	26	stages.2.blocks.4.attn.qkv	attention_qkv	stage_2	AnalogLinear	188.144852	3.600000	0.986530	1000.0	0.5208333333333334	0.8131507810414581	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
27	12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	187.585922	3.600000	0.981537	1000.0	1.0416666666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
28	2	stages.1.blocks.0.attn.qkv	attention_qkv	stage_1	AnalogLinear	178.544357	3.600000	0.990983	1000.0	0.0	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
29	6	stages.1.blocks.1.attn.qkv	attention_qkv	stage_1	AnalogLinear	175.855820	3.600000	0.990252	1000.0	0.390625	0.33829117335329634	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
30	18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	174.967743	3.600000	0.984470	1000.0	0.13020833333333334	1.2404009689620867	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
31	9	stages.1.blocks.1.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	169.359924	3.600000	0.985262	1000.0	26.236979166666668	14.32898190708222	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
