status	checkpoint	layer_label	analog_layers	eval_c2c	eval_d2d	n_json	n_d2d_seeds	d2d_seeds	mean_ppl	std_ppl	min_ppl	max_ppl	best_json	worst_json	missing_required_metadata
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed123_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	1	1	123	39.8971	0	39.8971	39.8971	eval_hat_d2d002_500_v2_d2dseed123_seed42_c2c0.0_d2d0.04_seed123.json	eval_hat_d2d002_500_v2_d2dseed123_seed42_c2c0.0_d2d0.04_seed123.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed123_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	1	1	123	57.1376	0	57.1376	57.1376	eval_hat_d2d002_500_v2_d2dseed123_seed42_c2c0.0_d2d0.05_seed123.json	eval_hat_d2d002_500_v2_d2dseed123_seed42_c2c0.0_d2d0.05_seed123.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed42_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	26.0506	0.529783	25.1654	26.5012	eval_hat_d2d002_500_v2_d2dseed42_seed42_c2c0.0_d2d0.02_seed42.json	eval_hat_d2d002_500_v2_d2dseed42_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed42_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	5	5	42,123,456,789,1001	44.3393	2.64592	40.082	46.738	eval_hat_d2d002_500_v2_d2dseed42_seed42_c2c0.0_d2d0.04_seed42.json	eval_hat_d2d002_500_v2_d2dseed42_seed42_c2c0.0_d2d0.04_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed42_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	66.8431	5.91019	57.6537	73.0583	eval_hat_d2d002_500_v2_d2dseed42_seed42_c2c0.0_d2d0.05_seed42.json	eval_hat_d2d002_500_v2_d2dseed42_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed456_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	1	1	456	25.5115	0	25.5115	25.5115	eval_hat_d2d002_500_v2_d2dseed456_seed42_c2c0.0_d2d0.02_seed456.json	eval_hat_d2d002_500_v2_d2dseed456_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed456_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	1	1	456	39.8352	0	39.8352	39.8352	eval_hat_d2d002_500_v2_d2dseed456_seed42_c2c0.0_d2d0.04_seed456.json	eval_hat_d2d002_500_v2_d2dseed456_seed42_c2c0.0_d2d0.04_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed456_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	1	1	456	56.5575	0	56.5575	56.5575	eval_hat_d2d002_500_v2_d2dseed456_seed42_c2c0.0_d2d0.05_seed456.json	eval_hat_d2d002_500_v2_d2dseed456_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed789_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	1	1	789	25.0074	0	25.0074	25.0074	eval_hat_d2d002_500_v2_d2dseed789_seed42_c2c0.0_d2d0.02_seed789.json	eval_hat_d2d002_500_v2_d2dseed789_seed42_c2c0.0_d2d0.02_seed789.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_d2d002_500_v2_d2dseed789_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.04	1	1	789	40.6123	0	40.6123	40.6123	eval_hat_d2d002_500_v2_d2dseed789_seed42_c2c0.0_d2d0.04_seed789.json	eval_hat_d2d002_500_v2_d2dseed789_seed42_c2c0.0_d2d0.04_seed789.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
