CH1 Voltage 1,CH1 Current 1,CH1 Resistance 1,CH1 Power 1,CH1 Time 1,CH1 State 1,CH1 Source 1,CH2 Voltage 1,CH2 Current 1,CH2 Resistance 1,CH2 Power 1,CH2 Time 1,CH2 State 1,CH2 Source 1
-30.0,-4.89872e-07,61240487.31097102,1.469616e-05,3.7073869999999998,1792.0,-30.0,-16.93879,-1.54389e-08,1097150056.0273075,2.6151628493100006e-07,3.7073869999999998,1216.0,-16.93877551020408
-30.0,-4.12467e-07,72733091.3745827,1.2374010000000001e-05,3.783625,1792.0,-30.0,-16.122390000000003,-1.06349e-08,1515988866.8440702,1.7146000541100005e-07,3.783625,1216.0,-16.122448979591837
-30.0,-3.41995e-07,87720580.7102443,1.025985e-05,3.851194,1792.0,-30.0,-15.306090000000001,-6.7755e-09,2259034757.5824666,1.03706412795e-07,3.851194,1216.0,-15.306122448979593
-30.0,-2.78336e-07,107783398.48240976,8.35008e-06,3.9220819999999996,1792.0,-30.0,-14.489790000000001,-3.7074000000000002e-09,3908342773.9116364,5.371944744600001e-08,3.9220819999999996,1216.0,-14.48979591836735
-30.0,-2.20026e-07,136347522.56551498,6.60078e-06,3.984879,1792.0,-30.0,-13.673490000000001,-4.507e-10,30338340359.440872,6.162641943e-09,3.984879,1216.0,-13.673469387755102
-30.0,-1.71946e-07,174473381.17781165,5.15838e-06,4.053191,1792.0,-30.0,-12.857090000000001,1.2504e-09,-10282381637.875881,-1.6076505336e-08,4.053191,1216.0,-12.857142857142858
-30.0,-1.29821e-07,231087420.37112638,3.89463e-06,4.110481,1792.0,-30.0,-12.040780000000002,3.9018e-09,-3085955200.164027,-4.698071540400001e-08,4.110481,1216.0,-12.040816326530614
-30.0,-9.4596e-08,317138145.3761259,2.83788e-06,4.1700669999999995,1792.0,-30.0,-11.224490000000001,5.1322e-09,-2187071821.051401,-5.7606327578000005e-08,4.1700669999999995,1216.0,-11.224489795918366
-30.0,-6.99394e-08,428942770.4555658,2.098182e-06,4.27351,1280.0,-30.0,-10.408190000000001,3.3300000000000003e-09,-3125582582.5825825,-3.4659272700000005e-08,4.27351,1216.0,-10.408163265306122
-30.0,-4.81119e-08,623546357.5539523,1.443357e-06,4.355525,1280.0,-30.0,-9.591800000000001,4.1939e-09,-2287083621.450202,-4.022705002e-08,4.355525,1216.0,-9.591836734693878
-30.0,-3.12544e-08,959864851.0289751,9.37632e-07,4.435976999999999,1280.0,-30.0,-8.775500000000001,4.4565e-09,-1969146190.9570293,-3.9108015750000006e-08,4.435976999999999,1216.0,-8.775510204081634
-30.0,-1.8713e-08,1603163576.1235504,5.6139e-07,4.512875,1280.0,-30.0,-7.959200000000001,4.2687e-09,-1864548925.9024997,-3.397543704000001e-08,4.512875,1216.0,-7.95918367346939
-30.0,-1.00935e-08,2972209838.0145636,3.02805e-07,4.591824,1280.0,-30.0,-7.142900000000001,3.7955e-09,-1881939138.4534318,-2.7110876950000003e-08,4.591824,1216.0,-7.142857142857142
-30.0,-4.7233e-09,6351491541.93043,1.41699e-07,4.669791,1280.0,-30.0,-6.3265,3.2952e-09,-1919913814.0325322,-2.08470828e-08,4.669791,1216.0,-6.326530612244898
-30.0,-2.3403e-09,12818869375.721062,7.020899999999999e-08,4.785658,1280.0,-30.0,-5.5102,2.6962000000000003e-09,-2043691120.836733,-1.4856601240000002e-08,4.785658,1216.0,-5.510204081632654
