file,device,measurement,type,C1_n,C1_peak_nA,C1_mean_nA,C1_baseline_nA,C1_amp_nA,C1_t_peak_s,C1_half_width_s,C2_n,C2_mean_nA,C2_std_nA,C3_n,C3_valid,C3_mean_nA,C3_std_nA
3-6-EPSC-365 nm-200 300 ms-64ci-3,6,3,wafer,2000,-35.6261,-24.224671999999998,-0.063448,-35.562652,35.879132,37.694254,2000,-25.645448499999997,1.9176357858131627,854,True,-21.884239110070254,0.4826517911791049
3-6-EPSC-365 nm-200 300 ms-64ci-4,6,4,wafer,2000,-37.4307,-25.395675049999998,-0.07077200000000002,-37.359928000000004,35.594548,37.696084,2000,-27.3643472,1.9295107605426007,677,True,-23.705289955686855,0.4023523071520283
3-6-EPSC-365 nm-200 300 ms-64ci-5,6,5,wafer,2000,-37.9521,-25.639535150000004,-0.070871,-37.881229000000005,35.869351,37.217582,2000,-28.101947550000002,1.9115290347256821,535,True,-24.601615887850468,0.33324270185948424
3-7-EPSC-365 nm-200 300 ms-64ci-1,7,1,wafer,2000,-24.877000000000002,-16.05427355,-0.078501,-24.798499000000003,36.568956,36.879476,2000,-15.616821650000002,1.7668970270274205,600,True,-12.480407166666668,0.2967334634187608
3-7-EPSC-365 nm-200 300 ms-64ci-2,7,2,wafer,2000,-25.7185,-16.342870899999998,-0.0466,-25.671899999999997,35.916004,35.726881,2000,-16.8103403,1.6816992680708476,502,True,-13.840241434262948,0.250500509830786
3-7-EPSC-365 nm-200 300 ms-64ci-3,7,3,wafer,2000,-27.602,-18.84744405,-0.125149,-27.476851,35.891756,38.712198,2000,-18.4979753,1.6922042904360557,505,True,-15.487066930693068,0.25851596676972594
3-7-EPSC-365 nm-200 300 ms-64ci-4,7,4,wafer,2000,-27.9223,-19.5267385,-0.31461300000000003,-27.607687,35.821405,39.85897,2000,-18.946377899999998,1.6810640276753774,455,False,-16.01108967032967,0.22915311446942302
3-7-EPSC-365 nm-200 300 ms-64ci-5,7,5,wafer,2000,-28.3431,-20.056232100000003,-0.454545,-27.888555,35.768916,40.267502,2000,-19.46277095,1.6760853283395314,504,True,-16.489047817460317,0.25896595582727333
3-8-EPSC-365 nm-200 300 ms-64ci-1,8,1,wafer,2000,-21.8779,-15.483575700000001,-0.04363499999999999,-21.834265000000002,35.552077,40.667039,2000,-15.37412515,1.3799344359411523,422,False,-12.912659715639812,0.18855054625240542
3-8-EPSC-365 nm-200 300 ms-64ci-2,8,2,wafer,2000,-23.3393,-17.1071274,-0.145129,-23.194171,35.330087,41.994307000000006,2000,-17.0454784,1.3531398151680913,480,False,-14.549978125,0.21338953266739544
3-8-EPSC-365 nm-200 300 ms-64ci-3,8,3,wafer,2000,-23.569200000000002,-17.50294715,-0.5828419999999999,-22.986358000000003,35.647182,41.951065,2000,-17.480775249999997,1.3365213501407782,522,True,-15.007082567049808,0.22750072498401777
3-8-EPSC-365 nm-200 300 ms-64ci-4,8,4,wafer,2000,-18.3075,-12.091088950000001,-0.039885000000000004,-18.267615,33.192941,38.047216000000006,2000,-11.079719500000001,1.3759999824366216,500,True,-8.6189074,0.2084397274157936
3-8-EPSC-365 nm-200 300 ms-64ci-5,8,5,wafer,2000,-21.3241,-15.4464068,-0.067662,-21.256438000000003,34.432973,40.800671,2000,-13.648612349999999,1.5233967202557974,573,True,-10.863856544502617,0.2632995457992828
3-9-EPSC-365 nm-200 300 ms-64ci-1,9,1,wafer,2000,-27.3168,-19.2698797,-0.29108399999999995,-27.025716,36.542898,40.531523,2000,-19.717494449999997,1.478783136875435,448,False,-17.108624776785714,0.20050335581596226
3-9-EPSC-365 nm-200 300 ms-64ci-2,9,2,wafer,2000,-27.269099999999998,-19.27590845,-0.11374899999999999,-27.155351,35.821659,40.758882,2000,-19.5824703,1.4524428909164024,618,True,-16.878611812297734,0.2696104355229995
3-9-EPSC-365 nm-200 300 ms-64ci-3,9,3,wafer,2000,-27.1917,-19.7590853,-0.244428,-26.947272,35.478218,41.742881,2000,-19.561227700000003,1.43053674827905,1541,True,-16.241477482154448,0.6168359218197031
3-9-EPSC-365 nm-200 300 ms-64ci-4,9,4,wafer,2000,-26.933200000000003,-19.734431700000002,-0.20760400000000004,-26.725596000000003,35.244153,42.076027,2000,-19.251215799999997,1.4189022204880832,454,False,-16.71833832599119,0.20525703002175236
3-9-EPSC-365 nm-200 300 ms-64ci-5,9,5,wafer,2000,-26.6934,-18.53608195,-0.41072000000000003,-26.28268,37.364891,39.826564999999995,2000,-19.3785141,1.478056353432829,387,False,-16.821428423772613,0.1773355918685361
