dataset	model_type	experiment	experiment_name	checkpoint	strategy	protected_k	retention_time_s	retention_recalibrate_scale	retention_scales_d2d	instance_index	instance_seed	mc_index	mc_seed	accuracy	loss	elapsed_seconds	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	5	20660514	3	20660517	63.82	1.488245	0.985	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	5	20660514	1	20660515	70.37	1.295199	1.001	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	5	20660514	2	20660516	70.27	1.301557	0.99	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	5	20660514	3	20660517	69.99	1.288038	0.991	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	6	20760514	1	20760515	2.1	5.663971	0.983	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	6	20760514	2	20760516	2.11	5.678023	0.987	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	6	20760514	3	20760517	2.0	5.710854	0.977	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	6	20760514	1	20760515	14.4	4.059964	0.976	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	6	20760514	2	20760516	15.08	4.005049	0.974	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	6	20760514	3	20760517	14.7	4.059348	0.977	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	6	20760514	1	20760515	41.83	2.456923	0.974	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	6	20760514	2	20760516	42.05	2.441506	0.968	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	6	20760514	3	20760517	42.43	2.442834	0.965	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	6	20760514	1	20760515	64.45	1.475151	0.967	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	6	20760514	2	20760516	63.91	1.481817	0.97	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	6	20760514	3	20760517	64.24	1.47783	0.967	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
