dataset	model_type	experiment	experiment_name	checkpoint	module_path	layer_index	seed_index	seed	baseline_accuracy_mean	accuracy	accuracy_drop	loss	elapsed_seconds	batch_size	test_size	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.1.conv1	4	2	20300516	69.92	67.38	2.54	1.430388	1.045	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.1.conv1	4	3	20300517	69.92	67.52	2.4	1.42505	0.975	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.1.conv2	5	1	20310515	69.92	66.21	3.71	1.495256	0.959	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.1.conv2	5	2	20310516	69.92	62.72	7.2	1.673218	0.965	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.1.conv2	5	3	20310517	69.92	65.89	4.03	1.513465	0.967	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.conv1	6	1	20320515	69.92	66.15	3.77	1.484432	0.97	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.conv1	6	2	20320516	69.92	67.58	2.34	1.431175	0.966	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.conv1	6	3	20320517	69.92	66.01	3.91	1.518689	0.963	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.conv2	7	1	20330515	69.92	62.41	7.51	1.675285	1.053	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.conv2	7	2	20330516	69.92	62.99	6.93	1.65128	1.013	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.conv2	7	3	20330517	69.92	60.35	9.57	1.845363	0.999	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.downsample.0	8	1	20340515	69.92	67.35	2.57	1.430558	0.994	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.downsample.0	8	2	20340516	69.92	68.23	1.69	1.401919	0.99	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.0.downsample.0	8	3	20340517	69.92	66.61	3.31	1.480153	0.987	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.1.conv1	9	1	20350515	69.92	67.35	2.57	1.465755	0.992	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.1.conv1	9	2	20350516	69.92	67.82	2.1	1.415185	0.978	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.1.conv1	9	3	20350517	69.92	67.62	2.3	1.414192	0.984	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.1.conv2	10	1	20360515	69.92	68.37	1.55	1.392749	0.98	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.1.conv2	10	2	20360516	69.92	68.69	1.23	1.354106	0.98	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer2.1.conv2	10	3	20360517	69.92	68.65	1.27	1.381888	0.976	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer3.0.conv1	11	1	20370515	69.92	64.14	5.78	1.602481	0.982	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer3.0.conv1	11	2	20370516	69.92	64.77	5.15	1.610117	0.977	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer3.0.conv1	11	3	20370517	69.92	63.34	6.58	1.668073	0.978	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer3.0.conv2	12	1	20380515	69.92	65.59	4.33	1.540681	0.973	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer3.0.conv2	12	2	20380516	69.92	66.19	3.73	1.47961	0.969	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer3.0.conv2	12	3	20380517	69.92	66.64	3.28	1.473258	0.961	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
